,name,scores_avg
179,Act of Aggression,71.0
180,Act of War: Direct Action,82.0
181,Act of War: High Treason,74.0
182,ActRaiser Renaissance,72.5
183,Action Henk,73.0
184,Active Life: Extreme Challenge,56.0
185,Active Soccer 2 DX,53.0
186,Activision Hits Remixed,75.0
187,Actual Sunlight,75.0
188,Adam's Venture Chronicles,49.0
189,Adam's Venture: Origins,53.0
190,Adios,78.0
191,Adrenalin Misfits,50.0
192,Advance Wars: Days of Ruin,86.0
193,Advance Wars: Dual Strike,90.0
194,Advent Rising,69.0
195,Adventure Island: The Beginning,60.0
196,Adventure Time: Explore the Dungeon Because I DON'T KNOW!,42.333333333333336
197,Adventure Time: Finn and Jake Investigations,66.0
198,Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!,67.0
199,Adventure Time: Pirates of the Enchiridion,56.0
200,Adventures of Mana,66.0
201,Adventures of Pip,75.33333333333333
202,Adventures to Go!,58.0
203,Aedis Eclipse: Generation of Chaos,62.0
204,Aegis Defenders,75.0
205,Aegis Wing,58.0
206,Aegis of Earth: Protonovus Assault,57.0
207,Aeon Flux,67.5
208,AereA,48.0
209,Aerial Strike: The Yager Missions,62.0
210,Aerial_Knight's Never Yield,66.0
211,Aero Porter,70.0
212,Aero Racer,65.0
213,Aeterna Noctis,72.0
214,AeternoBlade,59.0
215,AeternoBlade II,44.0
216,Affordable Space Adventures,81.0
217,Afrika,63.0
218,Afro Samurai,65.0
219,Afro Samurai 2: Revenge of Kuma Volume One,21.0
220,After Burner Climax,73.5
221,After Burner: Black Falcon,73.0
222,After the Fall,75.0
223,Aftercharge,69.0
224,Afterfall: InSanity,50.0
225,Afterparty,73.5
226,Again: Interactive Crime Novel,52.0
227,Agatha Christie: And Then There Were None,59.0
228,Agatha Christie: Evil Under the Sun,66.0
229,Agatha Christie: Murder on the Orient Express,60.0
230,Agatha Christie: The ABC Murders,63.0
231,Age of Booty,75.0
232,Age of Conan: Hyborian Adventures,80.0
233,Age of Conan: Rise of the Godslayer,83.0
234,Age of Empires II: Definitive Edition,84.0
235,Age of Empires II: HD Edition,68.0
236,Age of Empires III,81.0
237,Age of Empires III: Definitive Edition,75.0
238,Age of Empires III: The Asian Dynasties,81.0
239,Age of Empires III: The WarChiefs,80.0
240,Age of Empires IV,81.0
241,Age of Empires Online,70.0
242,Age of Empires: Definitive Edition,69.0
243,Age of Empires: Mythologies,78.0
244,Age of Empires: The Age of Kings,80.0
245,Age of Mythology: Extended Edition,66.0
246,Age of Pirates 2: City of Abandoned Ships,61.0
