,name,scores_avg
1712,Curious George,55.0
1713,Curse of the Dead Gods,78.33333333333333
1714,Cursed Mountain,67.0
1715,Curved Space,59.0
1716,Custom Robo Arena,74.0
1717,Cyanide & Happiness - Freakpocalypse,62.5
1718,Cyber Shadow,80.0
1719,Cyberball 2072,41.0
1720,Cyberdimension Neptunia: 4 Goddesses Online,71.0
1721,Cyberpunk 2077,68.0
1722,Cycle 28,69.0
1723,Cytus Alpha,81.0
1724,D1 Professional Drift Grand Prix Series,45.0
1725,D4: Dark Dreams Don't Die,71.5
1726,DARK,39.5
1727,DARQ,70.0
1728,DARQ: Complete Edition,75.5
1729,DC Super Hero Girls: Teen Power,66.0
1730,DC Universe Online,69.5
1731,DCS: Black Shark,82.0
1732,DEFCON: Everybody Dies,84.0
1733,DESYNC,69.0
1734,DEXED,65.0
1735,DG2: Defense Grid 2,78.66666666666667
1736,DICE: DNA Integrated Cybernetic Enterprises,48.0
1737,DIRT 5,79.0
1738,DISTRAINT,76.0
1739,DJ Hero,85.66666666666667
1740,DJ Hero 2,86.66666666666667
1741,DJ Star,66.0
1742,DJMax Respect,85.0
1743,DK: Jungle Climber,77.0
1744,DK: King of Swing,70.0
1745,DOFUS,72.0
1746,DOOM,83.6
1747,DOOM 3 BFG Edition,67.0
1748,DOOM 3: BFG Edition,59.0
1749,DOOM 3: Resurrection of Evil,78.0
1750,DOOM 3: VR Edition,67.0
1751,DOOM 64,75.5
1752,DOOM Eternal,85.75
1753,DOOM Eternal: The Ancient Gods Part One,77.5
1754,DOOM Eternal: The Ancient Gods Part Two,77.5
1755,DOOM II,77.0
1756,DOOM VFR,70.0
1757,DRIV3R,40.0
1758,DRiiFT Mania,71.0
1759,DUSK,88.0
1760,Da New Guys: Day of the Jackass,56.0
1761,Daemon X Machina,70.5
1762,Daemonica,65.0
1763,Dai Senryaku VII: Modern Military Tactics,74.0
1764,Dakar 18,55.333333333333336
1765,Damage Inc.: Pacific Squadron WWII,49.0
1766,Damascus Gear: Operation Tokyo,59.0
1767,Damnation,37.666666666666664
1768,Damsel,66.0
1769,Dance Central,82.0
1770,Dance Central 2,86.0
1771,Dance Central 3,86.0
1772,Dance Central Spotlight,74.0
1773,Dance Dance Revolution Extreme 2,76.0
1774,Dance Dance Revolution Hottest Party,73.0
1775,Dance Dance Revolution SuperNOVA,73.0
1776,Dance Dance Revolution SuperNOVA 2,70.0
1777,Dance Dance Revolution Ultramix 3,75.0
1778,Dance Dance Revolution Universe,74.0
1779,Dance Dance Revolution Universe 2,65.0
1780,Dance Dance Revolution: Disney Channel Edition,61.0
1781,Dance Dance Revolution: Hottest Party 2,69.0
1782,Dance Dance Revolution: Mario Mix,69.0
1783,Dance Factory,56.0
1784,Dance Paradise,59.0
1785,Dance of Death: Du Lac & Fey,51.0
1786,DanceMasters,63.0
1787,DanceStar Party Hits,68.0
1788,Dandara,71.5
1789,Dandy Ace,80.0
1790,Dandy Dungeon: Legend of Brave Yamada,78.0
1791,Danganronpa 1-2 Reload,83.0
1792,Danganronpa 2: Goodbye Despair,81.0
1793,Danganronpa Another Episode: Ultra Despair Girls,69.5
1794,Danganronpa Decadence,83.0
1795,Danganronpa S: Ultimate Summer Camp,54.0
1796,Danganronpa V3: Killing Harmony,80.5
1797,Danganronpa: Trigger Happy Havoc,81.0
1798,Danger Zone,64.0
1799,Danger Zone 2,68.5
1800,Dangerous Driving,63.5
1801,Dangerous Golf,57.666666666666664
1802,Dangerous Waters,82.0
1803,Danmaku Unlimited 3,84.0
1804,Dante's Inferno,72.66666666666667
1805,Darius Cozmic Collection: Arcade,75.0
1806,Darius Cozmic Collection: Console,67.0
1807,Dariusburst: Another Chronicle EX+,65.0
1808,Dariusburst: Chronicle Saviours,80.0
1809,Dark Arcana: The Carnival,68.0
1810,Dark Deity,80.0
1811,Dark Devotion,72.0
1812,Dark Eclipse,65.0
1813,Dark Fall 3: Lost Souls,75.0
1814,Dark Horizon,55.0
1815,Dark Messiah of Might and Magic,72.0
1816,Dark Messiah of Might and Magic: Elements,52.0
1817,Dark Nights with Poe and Munro,74.0
1818,Dark Rose Valkyrie,58.0
1819,Dark Sector,70.0
1820,Dark Souls,89.0
1821,Dark Souls II,91.0
1822,Dark Souls II: Crown of the Ivory King,84.0
1823,Dark Souls II: Crown of the Old Iron King,81.0
1824,Dark Souls II: Crown of the Sunken King,81.66666666666667
1825,Dark Souls II: Scholar of the First Sin,85.0
1826,Dark Souls III,88.33333333333333
1827,Dark Souls III: Ashes of Ariandel,72.0
1828,Dark Souls III: The Ringed City,82.0
1829,Dark Souls Remastered,84.25
1830,Dark Souls: Artorias of the Abyss,89.0
1831,Dark Souls: Prepare to Die Edition,85.0
1832,Dark Train,77.0
1833,Dark Void,58.333333333333336
1834,Dark Void Zero,84.0
1835,DarkStar One,71.0
1836,DarkStar One: Broken Alliance,63.0
1837,Darkest Dungeon,84.0
1838,Darkest Dungeon: The Crimson Court,82.0
1839,Darkest of Days,47.5
1840,Darkestville Castle,69.5
1841,Darkness Within: In Pursuit of Loath Nolder,52.0
1842,Darknet,78.0
1843,Darkout,55.0
1844,Darksiders,82.66666666666667
1845,Darksiders Genesis,76.25
1846,Darksiders II,83.25
1847,Darksiders II: Deathinitive Edition,74.66666666666667
1848,Darksiders III,65.25
1849,Darksiders III: Keepers of the Void,59.0
1850,Darksiders: Warmastered Edition,79.33333333333333
1851,Darkspore,65.0
1852,Darkstalkers Chronicle: The Chaos Tower,74.0
1853,Darkstalkers Resurrection,81.0
1854,Darkstar: The Interactive Movie,36.0
1855,Darkwatch,74.5
1856,Darkwood,78.5
1857,Darwin Project,74.0
1858,Darwinia,84.0
1859,Darwinia+,80.0
1860,Dash of Destruction,53.0
1861,Data East Arcade Classics,56.0
1862,Date Night Bowling,56.0
1863,Datura,57.0
1864,Dauntless,78.25
1865,Dave Mirra BMX Challenge,32.0
1866,Dawn of Discovery,81.66666666666667
1867,Dawn of Discovery: Venice,78.0
1868,Dawn of Fear,33.0
1869,Dawn of Magic,52.0
1870,Dawn of Man,74.0
1871,Dawn of Mana,57.0
1872,Dawnspire: Prelude,58.0
1873,Daxter,85.0
1874,Day of Defeat: Source,80.0
1875,Day of Infamy,77.0
1876,Day of the Tentacle Remastered,85.0
1877,Daylight,49.5
1878,Daymare: 1998,61.0
1879,Days Gone,73.5
1880,Daytona USA,74.0
1881,De Mambo,69.0
1882,De-formers,54.5
1883,Dead Alliance,43.0
1884,Dead Block,56.5
1885,Dead Cells,89.0
1886,Dead Effect,59.0
1887,Dead Effect 2,56.0
1888,Dead Head Fred,75.0
1889,Dead Horde,45.0
1890,Dead In Vinland,74.0
1891,Dead Island,74.0
1892,Dead Island: Definitive Collection,66.66666666666667
1893,Dead Island: Riptide,60.0
1894,Dead Island: Ryder White,44.0
1895,Dead Nation,72.5
1896,Dead Nation: Apocalypse Edition,74.0
1897,Dead Nation: Road of Devastation,75.0
1898,Dead Reefs,51.0
1899,Dead Rising,85.0
1900,Dead Rising 2,79.0
1901,Dead Rising 2: Case West,74.0
1902,Dead Rising 2: Case Zero,79.0
1903,Dead Rising 2: Off the Record,70.0
1904,Dead Rising 3,78.0
1905,Dead Rising 3: Apocalypse Edition,70.0
1906,Dead Rising 3: Chaos Rising,50.0
1907,Dead Rising 3: Fallen Angel,56.0
1908,Dead Rising 3: Operation Broken Eagle,52.0
1909,Dead Rising 3: The Last Agent,51.0
1910,Dead Rising 4,73.0
1911,Dead Rising 4: Frank's Big Package,72.0
1912,Dead Rising Triple Pack,71.0
1913,Dead Rising: Chop Till You Drop,61.0
1914,Dead Space,88.5
1915,Dead Space (2008),86.0
1916,Dead Space 2,88.66666666666667
1917,Dead Space 2: Severed,61.0
1918,Dead Space 3,77.33333333333333
1919,Dead Space 3: Awakened,50.0
1920,Dead Space Ignition,35.5
1921,Dead Space: Extraction,80.5
1922,Dead Star,70.0
1923,Dead State,70.0
1924,Dead Synchronicity: Tomorrow Comes Today,69.5
1925,Dead by Daylight,63.5
1926,Dead or Alive 4,85.0
1927,Dead or Alive 5,75.0
1928,Dead or Alive 5 Last Round,70.66666666666667
1929,Dead or Alive 5 Plus,80.0
1930,Dead or Alive 5 Ultimate,76.0
1931,Dead or Alive 6,73.66666666666667
1932,Dead or Alive Dimensions,79.0
1933,Dead or Alive Paradise,38.0
1934,Dead or Alive Xtreme 2,53.0
1935,Dead or Alive Xtreme 3: Fortune,43.0
1936,Dead or School,62.5
1937,Dead to Rights II,52.5
1938,Dead to Rights: Reckoning,54.0
1939,Dead to Rights: Retribution,60.5
1940,DeadCore,78.0
1941,Deadbeat Heroes,61.0
1942,Deadcore,64.0
1943,Deadfall Adventures,48.0
1944,Deadliest Catch: Alaskan Storm,56.0
1945,Deadliest Catch: Sea of Chaos,48.0
1946,Deadliest Warrior: Legends,56.0
1947,Deadliest Warrior: The Game,56.0
1948,Deadlight,73.0
1949,Deadlight: Director's Cut,69.5
1950,Deadly Creatures,72.0
1951,Deadly Premonition,68.0
1952,Deadly Premonition 2: A Blessing in Disguise,56.0
1953,Deadly Premonition Origins,70.0
1954,Deadly Premonition: The Director's Cut,64.5
1955,Deadpool,61.5
1956,Deal or No Deal,20.0
1957,Dear Esther,75.0
1958,Dear Esther: Landmark Edition,68.0
1959,Death By Cube,56.0
1960,Death Come True,75.0
1961,Death Jr.,61.0
1962,Death Jr. II: Root of Evil,68.0
1963,Death Jr. and the Science Fair of Doom,47.0
1964,Death Jr.: Root of Evil,71.0
1965,Death Rally (2012),62.0
1966,Death Road to Canada,78.5
1967,Death Squared,78.0
1968,Death Stranding,84.0
1969,Death Stranding: Director's Cut,85.0
1970,Death Tank,66.0
1971,Death Track: Resurrection,53.0
1972,Death by Degrees,51.0
1973,Death by Game Show,50.0
1974,Death end re;Quest,71.0
1975,Death end re;Quest 2,74.0
1976,Death to Spies,69.0
1977,Death's Door,87.0
1978,Death's Gambit,71.5
1979,Death's Gambit: Afterlife,79.5
1980,DeathSpank,78.33333333333333
1981,DeathSpank: Thongs of Virtue,78.0
1982,Deathloop,87.5
1983,Deathsmiles,77.0
1984,Deathtrap,77.0
1985,Deca Sports,50.0
1986,Deca Sports 2,49.0
1987,Deca Sports 3,41.0
1988,Deca Sports DS,57.0
1989,Deca Sports Freedom,26.0
1990,Decay of Logos,47.0
1991,Deception IV: Blood Ties,68.5
1992,Deception IV: The Nightmare Princess,69.0
1993,Dedede's Drum Dash Deluxe,65.0
1994,Deemo Reborn,75.0
1995,Deep Black: Episode 1,47.0
1996,Deep Black: Reloaded,39.0
1997,Deep Labyrinth,57.0
1998,Deep Rock Galactic,85.0
1999,Deep Sky Derelicts,70.0
2000,Def Jam Rapstar,74.5
2001,Def Jam: Fight for NY: The Takeover,79.0
2002,Def Jam: Icon,68.5
2003,Defector,75.0
2004,Defend Your Castle,65.0
2005,Defender,58.0
2006,Defenders of Ardania,55.0
2007,Defense Grid: The Awakening,81.5
2008,Defense Technica,63.0
2009,Defiance,61.0
2010,Degrees of Separation,67.5
2011,Deiland: Pocket Planet Edition,61.0
2012,Deliver Us The Moon,73.66666666666667
2013,Deliver Us The Moon: Fortuna,63.0
2014,Delta Force - Black Hawk Down: Team Sabre,48.0
2015,Delta Force: Black Hawk Down,59.5
2016,Delta Force: Xtreme,65.0
2017,Delta Force: Xtreme 2,40.0
2018,Dementium II,75.0
2019,Dementium Remastered,57.0
2020,Dementium: The Ward,72.0
2021,Demeo,83.0
2022,Demetrios - The BIG Cynical Adventure,72.0
2023,Demigod,76.0
2024,Democracy,62.0
2025,Democracy 3,70.0
2026,Demon Gaze,70.0
2027,Demon Gaze II,73.0
2028,Demon Skin,48.0
2029,Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles,70.0
2030,Demon Turf,73.0
2031,Demon's Crystals,70.0
2032,Demon's Souls,90.5
2033,Dengeki Bunko: Fighting Climax,70.5
2034,Depixtion,78.0
2035,Deponia,72.5
2036,Deponia Doomsday,76.0
2037,Depth,65.0
2038,Deracine,68.0
2039,Derrick the Deathfin,72.0
2040,Deru - The Art of Cooperation,79.0
2041,Descenders,76.5
2042,Desert Child,54.666666666666664
2043,Desktop Dungeons,82.0
2044,Desperados 2: Cooper's Revenge,66.0
2045,Desperados III,84.33333333333333
2046,Desperate Housewives: The Game,61.0
2047,Despicable Me: The Game - Minion Mayhem,54.0
2048,Destination: Treasure Island,74.0
2049,Destiny,75.5
2050,Destiny 2,85.0
2051,Destiny 2: Beyond Light,73.33333333333333
2052,Destiny 2: Curse of Osiris,58.333333333333336
2053,Destiny 2: Forsaken,84.0
2054,Destiny 2: Shadowkeep,74.66666666666667
2055,Destiny 2: Warmind,62.0
2056,Destiny Connect: Tick-Tock Travelers,57.0
2057,Destiny of Spirits,66.0
2058,Destiny: House of Wolves,72.0
2059,Destiny: Rise of Iron,72.5
2060,Destiny: The Dark Below,63.0
2061,Destiny: The Taken King,87.5
2062,Destropolis,67.0
2063,Destroy All Humans!,70.83333333333333
2064,Destroy All Humans! 2,74.0
2065,Destroy All Humans! Big Willy Unleashed,53.0
2066,Destroy All Humans! Path of the Furon,34.0
2067,Destruction AllStars,62.0
2068,Detached,66.0
2069,Detective Gallo,61.0
2070,Detective Pikachu,71.0
2071,Detention,81.66666666666667
2072,Detroit: Become Human,79.0
2073,Deus Ex: Human Revolution,89.33333333333333
2074,Deus Ex: Human Revolution - Director's Cut,88.0
2075,Deus Ex: Human Revolution - The Missing Link,75.66666666666667
2076,Deus Ex: Mankind Divided,83.33333333333333
2077,Deus Ex: Mankind Divided - A Criminal Past,81.0
2078,Deus Ex: Mankind Divided - System Rift,75.0
2079,Deus Ex: The Fall,45.0
2080,Devil Daggers,83.0
2081,Devil Kings,64.0
2082,Devil May Cry,74.0
2083,Devil May Cry 2,50.0
2084,Devil May Cry 3: Dante's Awakening,84.0
2085,Devil May Cry 3: Special Edition,78.33333333333333
2086,Devil May Cry 4,82.0
2087,Devil May Cry 4: Special Edition,74.33333333333333
2088,Devil May Cry 5,88.0
2089,Devil May Cry 5: Special Edition,86.5
2090,Devil May Cry HD Collection,70.5
2091,Devil's Hunt,47.0
2092,Devil's Third,43.0
2093,Devious Dungeon,59.0
2094,Devotion,86.0
2095,Dewy's Adventure,67.0
2096,Dex,67.0
2097,DiRT,83.33333333333333
2098,DiRT 2,73.66666666666667
2099,DiRT 3,86.66666666666667
2100,DiRT 4,83.0
2101,DiRT Rally,85.66666666666667
2102,DiRT Rally 2.0,83.33333333333333
2103,DiRT Showdown,74.0
2104,Diablo II: Resurrected,79.5
2105,Diablo III,87.0
2106,Diablo III: Eternal Collection,88.0
2107,Diablo III: Reaper of Souls,87.0
2108,Diablo III: Rise of the Necromancer,76.0
2109,Diablo III: Ultimate Evil Edition,88.0
2110,Diabolical Pitch,56.0
2111,Diaries of a Spaceport Janitor,69.0
2112,Dice Legacy,72.0
2113,Dicey Dungeons,80.0
2114,Diddy Kong Racing DS,63.0
2115,Dig Dug,65.0
2116,Dig Dug: Digging Strike,65.0
2117,Digimon All-Star Rumble,49.0
2118,Digimon Story Cyber Sleuth,75.0
2119,Digimon Story Cyber Sleuth: Complete Edition,76.0
2120,Digimon Story Cyber Sleuth: Hacker's Memory,73.0
2121,Digimon World 4,48.0
2122,Digimon World DS,71.0
2123,Digimon World Data Squad,43.0
2124,Digimon World: Dawn,68.0
2125,Digimon World: Dusk,67.0
2126,Digimon World: Next Order,68.0
2127,Dillon's Dead-Heat Breakers,69.0
2128,Dillon's Rolling Western,65.0
2129,Dillon's Rolling Western: The Last Ranger,68.0
2130,Diluvion,66.0
2131,Dimension Drive,72.0
2132,Din's Curse,76.0
2133,Diner Dash,67.0
2134,Diner Dash: Sizzle & Serve,59.5
2135,Dino Dini's Kick Off Revival,31.0
2136,Dino Frontier,65.0
2137,Dinocide,51.0
2138,Dinosaur King,61.0
2139,Diplomacy,58.0
2140,Dirge of Cerberus: Final Fantasy VII,57.0
2141,Dirty Bomb,63.0
2142,Disaster Report 4: Summer Memories,55.0
2143,Disc Jam,72.5
2144,Disc Room,82.0
2145,Disciples III: Renaissance,56.0
2146,Disciples: Liberation,72.0
2147,Disco Dodgeball Remix,69.0
2148,Disco Elysium,91.0
2149,Disco Elysium: The Final Cut,89.5
2150,Discs of Tron,44.0
2151,Disgaea 1 Complete,79.5
2152,Disgaea 2: Cursed Memories,84.0
2153,Disgaea 2: Dark Hero Days,83.0
2154,Disgaea 3: Absence of Detention,78.0
2155,Disgaea 3: Absence of Justice,78.0
2156,Disgaea 4 Complete+,85.0
2157,Disgaea 4: A Promise Revisited,82.0
2158,Disgaea 4: A Promise Unforgotten,80.0
2159,Disgaea 5 Complete,81.0
2160,Disgaea 5: Alliance of Vengeance,80.0
2161,Disgaea 6: Defiance of Destiny,73.0
2162,Disgaea D2: A Brighter Darkness,74.0
2163,Disgaea DS,82.0
2164,Disgaea Infinite,64.0
2165,Disgaea PC,74.0
2166,Disgaea: Afternoon of Darkness,87.0
2167,Dishonored,89.33333333333333
2168,Dishonored 2,87.33333333333333
2169,Dishonored: Death of the Outsider,82.33333333333333
2170,Dishonored: Definitive Edition,78.0
2171,Dishonored: Dunwall City Trials,73.0
2172,Dishonored: The Brigmore Witches,80.5
2173,Dishonored: The Knife of Dunwall,79.5
2174,Disintegration,63.0
2175,Disjunction,68.5
2176,Disney Alice in Wonderland,73.5
2177,Disney Art Academy,72.0
2178,Disney Bolt,48.0
2179,Disney Castle of Illusion starring Mickey Mouse,69.5
2180,Disney Classic Games: Aladdin and the Lion King,74.66666666666667
2181,Disney DuckTales: Remastered,73.66666666666667
2182,Disney Epic Mickey,73.0
2183,Disney Epic Mickey 2: The Power of Two,58.0
2184,Disney Epic Mickey: The Power of Illusion,63.0
2185,Disney G-Force,68.0
2186,Disney Guilty Party,78.0
2187,Disney Hannah Montana: Music Jam,61.0
2188,Disney Infinity,73.33333333333333
2189,Disney Infinity 2.0 Edition,72.0
2190,Disney Infinity 3.0 Edition,79.0
2191,Disney Magical World,71.0
2192,Disney Magical World 2,73.0
2193,Disney Magical World 2: Enchanted Edition,69.0
2194,Disney Pirates of the Caribbean: At World's End,57.8
2195,Disney Planes,51.0
2196,Disney Sing It,53.5
2197,Disney Tsum Tsum Festival,63.0
2198,Disney Universe,65.66666666666667
2199,Disney Wizards of Waverly Place,58.0
2200,Disney's A Christmas Carol,66.0
2201,Disney's Chicken Little,65.0
2202,Disney's Chicken Little: Ace in Action,69.0
2203,Disney's Cinderella: Magical Dreams,69.0
2204,Disney's Kim Possible: Kimmunicator,61.0
2205,Disney's Magical Quest 3 Starring Mickey and Donald,58.0
2206,Disney's Meet the Robinsons,64.66666666666667
2207,Disney's TRON: Evolution,57.666666666666664
2208,Disney's TRON: Evolution - Battle Grids,59.0
2209,Disney's Toontown Online,81.0
2210,Disney*Pixar WALL-E,54.0
2211,Disney/Pixar Brave,68.0
2212,Disney/Pixar Cars,65.4
2213,Disney/Pixar Cars 2,68.25
2214,Disney/Pixar Cars 3: Driven to Win,63.333333333333336
2215,Disney/Pixar Cars Mater-National Championship,63.333333333333336
2216,Disney/Pixar Cars Race-O-Rama,56.0
2217,Disney/Pixar Ratatouille,61.0
2218,Disney/Pixar Toy Story 3,75.75
2219,Disney/Pixar Toy Story Mania!,49.0
2220,Disney/Pixar Up,61.0
2221,Disneyland Adventures,67.0
2222,Dissidia 012: Duodecim Final Fantasy,78.0
2223,Dissidia: Final Fantasy,79.0
2224,Dissidia: Final Fantasy NT,67.0
2225,Dive: The Medes Islands Secret,74.0
2226,Divekick,65.0
2227,Divide,50.0
2228,Divinity II: Ego Draconis,67.0
2229,Divinity II: The Dragon Knight Saga,77.0
2230,Divinity: Dragon Commander,76.0
2231,Divinity: Original Sin,87.0
2232,Divinity: Original Sin Enhanced Edition,88.0
2233,Divinity: Original Sin II,93.0
2234,Divinity: Original Sin II - Definitive Edition,92.33333333333333
2235,DmC: Devil May Cry,85.33333333333333
2236,DmC: Devil May Cry - Vergil's Downfall,69.5
2237,DmC: Devil May Cry Definitive Edition,84.5
2238,Do Not Fall,67.0
2239,Do Not Feed the Monkeys,77.0
2240,DoDonPachi Resurrection,77.0
2241,Doc Clock: The Toasted Sandwich of Time,62.0
2242,Doctor Lautrec and the Forgotten Knights,53.0
2243,Doctor Who: The Edge Of Time,52.0
2244,Doctor Who: The Eternity Clock,39.0
2245,Dodgeball Academia,79.0
2246,DodoGo!,77.0
2247,DodoGo! Robo,72.0
2248,Dogfight 1942,59.0
2249,Dogos,63.0
2250,Dogz,48.0
2251,Dokapon Journey,60.0
2252,Dokapon Kingdom,67.0
2253,Doki Doki Literature Club Plus!,83.0
2254,Doki Doki Literature Club!,78.0
2255,Doki-Doki Universe,66.33333333333333
2256,Dokuro,76.0
2257,Dollar Dash,49.0
2258,Dollhouse,41.0
2259,Domination (2005),69.0
2260,Dominions 3: The Awakening,82.0
2261,Domino Master,49.0
2262,Don Bluth Presents: Dragon's Lair HD,50.0
2263,Don King Boxing,55.0
2264,Don King Presents: Prizefighter,56.0
2265,Don't Forget Me,62.0
2266,Don't Knock Twice,56.0
2267,Don't Starve,79.0
2268,Don't Starve: Console Edition,78.0
2269,Don't Starve: Giant Edition,75.0
2270,Donkey Kong Country 3,77.0
2271,Donkey Kong Country Returns,87.0
2272,Donkey Kong Country Returns 3D,83.0
2273,Donkey Kong Country: Tropical Freeze,84.5
2274,Donkey Kong Jungle Beat,80.0
2275,Donkey Kong: Barrel Blast,46.0
2276,Donkey Konga 2,69.0
2277,Donut County,76.0
2278,Doodle God: Ultimate Edition,53.0
2279,Doom 3,88.0
2280,Doom 3: Resurrection of Evil,77.0
2281,Doomsday Vault,68.0
2282,Door Kickers,83.0
2283,Doraemon: Story of Seasons,71.5
2284,Dota 2,90.0
2285,Double Cross,67.0
2286,Double D Dodgeball,36.0
2287,Double Dragon,57.0
2288,Double Dragon & Kunio-kun Retro Brawler Bundle,78.0
2289,Double Dragon II: Wander of the Dragons,17.0
2290,Double Dragon IV,49.5
2291,Double Dragon: Neon,68.5
2292,Double Fine Happy Action Theater,80.0
2293,Double Kick Heroes,73.0
2294,Downstream Panic!,77.0
2295,Downward Spiral: Horus Station,63.0
2296,Downwell,83.0
2297,Dr. Kawashima's Brain Training for Nintendo Switch,64.0
2298,Dr. Luigi,65.0
2299,Dr. Mario / Puzzle League,74.0
2300,Dr. Mario Express,76.0
2301,Dr. Mario Online RX,72.0
2302,Dr. Mario: Miracle Cure,69.0
2303,Dr. Sudoku,68.0
2304,Dracula 3: The Path of the Dragon,65.0
2305,Dracula: Origin,70.0
2306,Dracula: Undead Awakening,75.0
2307,Draglade,71.0
2308,Dragon Age II,81.0
2309,Dragon Age II: Legacy,65.0
2310,Dragon Age II: Mark of the Assassin,76.0
2311,Dragon Age: Inquisition,86.33333333333333
2312,Dragon Age: Inquisition - Jaws Of Hakkon,74.0
2313,Dragon Age: Inquisition - Trespasser,77.0
2314,Dragon Age: Origins,88.0
2315,Dragon Age: Origins - Awakening,80.66666666666667
2316,Dragon Age: Origins - Leliana's Song,67.0
2317,Dragon Age: Origins - Return to Ostagar,61.5
2318,Dragon Age: Origins - Witch Hunt,56.0
2319,Dragon Ball FighterZ,86.25
2320,Dragon Ball GT: Transformation,69.0
2321,Dragon Ball Z Budokai HD Collection,63.5
2322,Dragon Ball Z for Kinect,49.0
2323,Dragon Ball Z: Attack of the Saiyans,73.0
2324,Dragon Ball Z: Battle of Z,57.666666666666664
2325,Dragon Ball Z: Budokai Tenkaichi,72.0
2326,Dragon Ball Z: Budokai Tenkaichi 2,72.5
2327,Dragon Ball Z: Budokai Tenkaichi 3,72.5
2328,Dragon Ball Z: Burst Limit,71.5
2329,Dragon Ball Z: Extreme Butoden,61.0
2330,Dragon Ball Z: Harukanaru Densetsu,57.0
2331,Dragon Ball Z: Infinite World,48.0
2332,Dragon Ball Z: Kakarot,73.0
2333,Dragon Ball Z: Kakarot + A New Power Awakens Set,78.0
2334,Dragon Ball Z: Sagas,49.333333333333336
2335,Dragon Ball Z: Shin Budokai,70.0
2336,Dragon Ball Z: Shin Budokai - Another Road,65.0
2337,Dragon Ball Z: Supersonic Warriors 2,66.0
2338,Dragon Ball Z: Tenkaichi Tag Team,63.0
2339,Dragon Ball Z: Ultimate Tenkaichi,56.5
2340,Dragon Ball: Advanced Adventure,75.0
2341,Dragon Ball: Evolution,28.0
2342,Dragon Ball: Fusions,72.0
2343,Dragon Ball: Origins,78.0
2344,Dragon Ball: Origins 2,70.0
2345,Dragon Ball: Raging Blast,56.5
2346,Dragon Ball: Raging Blast 2,58.5
2347,Dragon Ball: Revenge of King Piccolo,65.0
2348,Dragon Ball: Xenoverse,68.0
2349,Dragon Ball: Xenoverse 2,73.33333333333333
2350,Dragon Blade: Wrath of Fire,51.0
2351,Dragon Booster,33.0
2352,Dragon Marked For Death,69.0
2353,Dragon Quest,63.0
2354,Dragon Quest Builders,82.0
2355,Dragon Quest Builders 2,85.33333333333333
2356,Dragon Quest Heroes II,76.0
2357,Dragon Quest Heroes: Rocket Slime,83.0
2358,Dragon Quest Heroes: The World Tree's Woe and the Blight Below,75.0
2359,Dragon Quest II: Luminaries of the Legendary Line,60.0
2360,Dragon Quest III: The Seeds of Salvation,71.0
2361,Dragon Quest IV: Chapters of the Chosen,80.0
2362,Dragon Quest IX: Sentinels of the Starry Skies,87.0
2363,Dragon Quest Monsters: Joker,75.0
2364,Dragon Quest Monsters: Joker 2,77.0
2365,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,65.0
2366,Dragon Quest V: Hand of the Heavenly Bride,84.0
2367,Dragon Quest VI: Realms of Revelation,78.0
2368,Dragon Quest VII: Fragments of the Forgotten Past,81.0
2369,Dragon Quest VIII: Journey of the Cursed King,87.0
2370,Dragon Quest Wars,83.0
2371,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91.33333333333333
2372,Dragon Quest XI: Echoes of an Elusive Age,86.0
2373,Dragon Star Varnir,69.5
2374,Dragon's Crown,79.5
2375,Dragon's Crown Pro,80.0
2376,Dragon's Dogma,76.5
2377,Dragon's Dogma: Dark Arisen,79.0
2378,Dragon's Lair,41.0
2379,Dragon's Prophet,63.0
2380,Dragoneer's Aria,56.0
2381,Dragonshard,80.0
2382,Drake Hollow,75.0
2383,Drakengard 2,58.0
2384,Drakengard 3,61.0
2385,Drakensang: The Dark Eye,75.0
2386,Draugen,73.0
2387,Drawn to Death,56.0
2388,Drawn to Life,73.0
2389,Drawn to Life: SpongeBob SquarePants Edition,68.0
2390,Drawn to Life: The Next Chapter,65.0
2391,Drawn to Life: Two Realms,55.0
2392,Dread Nautical,58.0
2393,DreadOut,55.0
2394,Dream (2013),59.0
2395,Dream Chronicles,33.5
2396,Dream Daddy: A Dad Dating Simulator,72.0
2397,Dream Pinball 3D,54.0
2398,Dream Trigger 3D,54.0
2399,DreamWorks Bee Movie Game,63.666666666666664
2400,DreamWorks How to Train Your Dragon,57.0
2401,DreamWorks Kung Fu Panda,72.33333333333333
2402,DreamWorks Kung Fu Panda 2,40.5
2403,DreamWorks Kung Fu Panda: Legendary Warriors,57.0
2404,DreamWorks Madagascar,69.5
2405,DreamWorks Madagascar 3: The Video Game,45.0
2406,DreamWorks Madagascar: Escape 2 Africa,60.666666666666664
2407,DreamWorks Megamind: Ultimate Showdown,33.0
2408,DreamWorks Monsters vs. Aliens,61.6
2409,DreamWorks Over the Hedge,68.0
2410,DreamWorks Over the Hedge: Hammy Goes Nuts,58.0
2411,DreamWorks Over the Hedge: Hammy Goes Nuts!,52.0
2412,DreamWorks Shrek Forever After,59.5
2413,DreamWorks Shrek SuperSlam,62.5
2414,DreamWorks Shrek the Third,60.75
2415,DreamWorks Shrek-N-Roll,49.0
